id_offer,id_resume,score,details,normalized
921716,16852973,43.4,"{'education': 1.89, 'experience': 20.0, 'languages': 10, 'technical_skills': 2.16, 'soft_skills': 6.09, 'availability': 0, 'location': 1.0, 'job_description': 2.26}","{'education': 12.6, 'experience': 100.0, 'languages': 100.0, 'technical_skills': 10.8, 'soft_skills': 30.45, 'availability': 0.0, 'location': 20.0, 'job_description': 45.2}"
921716,22323967,54.4,"{'education': 11.19, 'experience': 20.0, 'languages': 10, 'technical_skills': 0.81, 'soft_skills': 0.03, 'availability': 10, 'location': 1.0, 'job_description': 1.37}","{'education': 74.6, 'experience': 100.0, 'languages': 100.0, 'technical_skills': 4.05, 'soft_skills': 0.15, 'availability': 100.0, 'location': 20.0, 'job_description': 27.4}"
921716,33176873,44.93,"{'education': 7.38, 'experience': 20.0, 'languages': 10, 'technical_skills': 1.7, 'soft_skills': 0.27, 'availability': 0, 'location': 4.0, 'job_description': 1.58}","{'education': 49.2, 'experience': 100.0, 'languages': 100.0, 'technical_skills': 8.5, 'soft_skills': 1.35, 'availability': 0.0, 'location': 80.0, 'job_description': 31.6}"
921716,27018550,35.79,"{'education': 2.8, 'experience': 20.0, 'languages': 10, 'technical_skills': 0.55, 'soft_skills': 0.05, 'availability': 0, 'location': 1.0, 'job_description': 1.39}","{'education': 18.67, 'experience': 100.0, 'languages': 100.0, 'technical_skills': 2.75, 'soft_skills': 0.25, 'availability': 0.0, 'location': 20.0, 'job_description': 27.8}"
921716,17812897,26.62,"{'education': 1.89, 'experience': 0.0, 'languages': 10, 'technical_skills': 7.48, 'soft_skills': 5.37, 'availability': 0, 'location': 1.0, 'job_description': 0.88}","{'education': 12.6, 'experience': 0.0, 'languages': 100.0, 'technical_skills': 37.4, 'soft_skills': 26.85, 'availability': 0.0, 'location': 20.0, 'job_description': 17.6}"
921716,11592605,55.4,"{'education': 7.84, 'experience': 20.0, 'languages': 10, 'technical_skills': 1.96, 'soft_skills': 0.1, 'availability': 10, 'location': 4.0, 'job_description': 1.5}","{'education': 52.27, 'experience': 100.0, 'languages': 100.0, 'technical_skills': 9.8, 'soft_skills': 0.5, 'availability': 100.0, 'location': 80.0, 'job_description': 30.0}"
921716,25824789,56.38,"{'education': 12.45, 'experience': 20.0, 'languages': 10, 'technical_skills': 0.96, 'soft_skills': 0.36, 'availability': 10, 'location': 1.0, 'job_description': 1.61}","{'education': 83.0, 'experience': 100.0, 'languages': 100.0, 'technical_skills': 4.8, 'soft_skills': 1.8, 'availability': 100.0, 'location': 20.0, 'job_description': 32.2}"
921716,15375009,43.39,"{'education': 6.32, 'experience': 20.0, 'languages': 10, 'technical_skills': 1.4, 'soft_skills': 0.06, 'availability': 0, 'location': 4.0, 'job_description': 1.61}","{'education': 42.13, 'experience': 100.0, 'languages': 100.0, 'technical_skills': 7.0, 'soft_skills': 0.3, 'availability': 0.0, 'location': 80.0, 'job_description': 32.2}"
921716,11847784,45.96,"{'education': 12.95, 'experience': 20.0, 'languages': 10, 'technical_skills': 0.53, 'soft_skills': 0.09, 'availability': 0, 'location': 1.0, 'job_description': 1.39}","{'education': 86.33, 'experience': 100.0, 'languages': 100.0, 'technical_skills': 2.65, 'soft_skills': 0.45, 'availability': 0.0, 'location': 20.0, 'job_description': 27.8}"
921716,32896934,56.5,"{'education': 7.96, 'experience': 20.0, 'languages': 10, 'technical_skills': 0.86, 'soft_skills': 5.37, 'availability': 10, 'location': 1.0, 'job_description': 1.31}","{'education': 53.07, 'experience': 100.0, 'languages': 100.0, 'technical_skills': 4.3, 'soft_skills': 26.85, 'availability': 100.0, 'location': 20.0, 'job_description': 26.2}"
1829192,16852973,48.47,"{'education': 3.79, 'experience': 20.0, 'languages': 10, 'technical_skills': 3.19, 'soft_skills': 9.13, 'availability': 0, 'location': 1.0, 'job_description': 1.36}","{'education': 25.27, 'experience': 100.0, 'languages': 100.0, 'technical_skills': 15.95, 'soft_skills': 45.65, 'availability': 0.0, 'location': 20.0, 'job_description': 27.2}"
1829192,22323967,41.3,"{'education': 7.71, 'experience': 20.0, 'languages': 10, 'technical_skills': 0.63, 'soft_skills': 1.0, 'availability': 0, 'location': 1.0, 'job_description': 0.96}","{'education': 51.4, 'experience': 100.0, 'languages': 100.0, 'technical_skills': 3.15, 'soft_skills': 5.0, 'availability': 0.0, 'location': 20.0, 'job_description': 19.2}"
1829192,33176873,40.41,"{'education': 4.89, 'experience': 20.0, 'languages': 10, 'technical_skills': 0.94, 'soft_skills': 1.35, 'availability': 0, 'location': 2.0, 'job_description': 1.23}","{'education': 32.6, 'experience': 100.0, 'languages': 100.0, 'technical_skills': 4.7, 'soft_skills': 6.75, 'availability': 0.0, 'location': 40.0, 'job_description': 24.6}"
1829192,27018550,35.47,"{'education': 2.01, 'experience': 20.0, 'languages': 10, 'technical_skills': 0.39, 'soft_skills': 0.86, 'availability': 0, 'location': 1.0, 'job_description': 1.21}","{'education': 13.4, 'experience': 100.0, 'languages': 100.0, 'technical_skills': 1.95, 'soft_skills': 4.3, 'availability': 0.0, 'location': 20.0, 'job_description': 24.2}"
1829192,17812897,50.66,"{'education': 3.79, 'experience': 20.0, 'languages': 10, 'technical_skills': 9.89, 'soft_skills': 5.53, 'availability': 0, 'location': 1.0, 'job_description': 0.45}","{'education': 25.27, 'experience': 100.0, 'languages': 100.0, 'technical_skills': 49.45, 'soft_skills': 27.65, 'availability': 0.0, 'location': 20.0, 'job_description': 9.0}"
1829192,11592605,37.12,"{'education': 2.31, 'experience': 20.0, 'languages': 10, 'technical_skills': 1.0, 'soft_skills': 0.62, 'availability': 0, 'location': 2.0, 'job_description': 1.19}","{'education': 15.4, 'experience': 100.0, 'languages': 100.0, 'technical_skills': 5.0, 'soft_skills': 3.1, 'availability': 0.0, 'location': 40.0, 'job_description': 23.8}"
1829192,25824789,37.82,"{'education': 3.7, 'experience': 20.0, 'languages': 10, 'technical_skills': 0.86, 'soft_skills': 1.1, 'availability': 0, 'location': 1.0, 'job_description': 1.16}","{'education': 24.67, 'experience': 100.0, 'languages': 100.0, 'technical_skills': 4.3, 'soft_skills': 5.5, 'availability': 0.0, 'location': 20.0, 'job_description': 23.2}"
1829192,15375009,41.48,"{'education': 6.04, 'experience': 20.0, 'languages': 10, 'technical_skills': 1.45, 'soft_skills': 0.83, 'availability': 0, 'location': 2.0, 'job_description': 1.16}","{'education': 40.27, 'experience': 100.0, 'languages': 100.0, 'technical_skills': 7.25, 'soft_skills': 4.15, 'availability': 0.0, 'location': 40.0, 'job_description': 23.2}"
1829192,11847784,37.18,"{'education': 3.67, 'experience': 20.0, 'languages': 10, 'technical_skills': 0.7, 'soft_skills': 0.6, 'availability': 0, 'location': 1.0, 'job_description': 1.21}","{'education': 24.47, 'experience': 100.0, 'languages': 100.0, 'technical_skills': 3.5, 'soft_skills': 3.0, 'availability': 0.0, 'location': 20.0, 'job_description': 24.2}"
1829192,32896934,42.56,"{'education': 3.36, 'experience': 20.0, 'languages': 10, 'technical_skills': 1.81, 'soft_skills': 5.53, 'availability': 0, 'location': 1.0, 'job_description': 0.86}","{'education': 22.4, 'experience': 100.0, 'languages': 100.0, 'technical_skills': 9.05, 'soft_skills': 27.65, 'availability': 0.0, 'location': 20.0, 'job_description': 17.2}"
